Episode,Reward
1,35800.73151779175
2,35062.09473991394
3,31572.222192764282
4,36692.782011032104
5,33453.43189430237
6,34683.80085372925
7,39613.43467712402
8,34040.56893157959
9,33824.93551826477
10,38216.717237472534
11,41470.86889839172
12,59353.282037734985
13,80917.50848388672
14,78934.21185302734
15,75828.54571533203
16,86012.16174316406
17,79500.38954162598
18,86695.84637451172
19,63103.180086135864
20,74317.48335647583
21,82522.89039993286
22,73628.1709060669
23,79618.22050094604
24,77762.85249328613
25,78486.203540802
26,80816.31258010864
27,69120.71617507935
28,58510.68633270264
29,54825.28153991699
30,78305.64996147156
31,81949.17009353638
32,69592.25469970703
33,77494.63601112366
34,57268.31339073181
35,61783.17011260986
36,73023.04789733887
37,61539.821685791016
38,62596.21587181091
39,70660.60094451904
40,86202.76124382019
41,83477.34732437134
42,75875.28533935547
43,81035.76481246948
44,55818.63849067688
45,99881.60000228882
46,96419.84399223328
47,72603.15200805664
48,97620.68524742126
49,62425.13401603699
50,79963.78924942017
51,93389.0135345459
52,74172.57730102539
53,72408.88615608215
54,73355.85396194458
55,80274.28705215454
56,73982.79970932007
57,78567.91960906982
58,67562.37189292908
59,76019.00168991089
60,61714.239570617676
61,82427.82116317749
62,70130.51466178894
63,52380.29578399658
64,94353.51243019104
65,52944.32399749756
66,76606.61490249634
67,76944.15492630005
68,73548.8257598877
69,119715.55674743652
70,70702.00700378418
71,87733.9912071228
72,79998.74869918823
73,76782.89586639404
74,81277.8099975586
75,78376.01633453369
76,81493.93156814575
77,77575.02156448364
78,82131.86924362183
79,119746.6749534607
80,78725.91068077087
81,89490.46020126343
82,105136.93942260742
83,97598.83536911011
84,82387.08699035645
85,80603.43738937378
86,116796.99928665161
87,102614.90557289124
88,84584.40412521362
89,57400.22287750244
90,86465.3620262146
91,95579.80285263062
92,94703.34963035583
93,87981.17730331421
94,70793.01428031921
95,88442.92063522339
96,92206.98252487183
97,72812.55639266968
98,91250.92746734619
99,101788.98253440857
100,113754.92193603516
101,79958.6540966034
102,75404.88024520874
103,110831.16637039185
104,84435.64743041992
105,85906.58227157593
106,90956.21689224243
107,133412.73890304565
108,110202.40335083008
109,89332.32865524292
110,109699.99402999878
111,101873.13762664795
112,131723.51832962036
113,108131.25630760193
114,128195.38467025757
115,143723.8731803894
116,132020.16724777222
117,97605.73421096802
118,118925.53403663635
119,87978.8482055664
120,72764.18575286865
121,122131.37530899048
122,150813.03493118286
123,97258.47983932495
124,80067.29228591919
125,60754.90314865112
126,102393.35904312134
127,90883.81115341187
128,102815.71419143677
129,103357.1189918518
130,70927.86491775513
131,92133.3251876831
132,125661.37092971802
133,86067.67373275757
134,151888.25351333618
135,94651.64910316467
136,103309.70748519897
137,138498.4768257141
138,97908.66780090332
139,78080.11194229126
140,96555.23736953735
141,148320.62924194336
142,150622.42324829102
143,108682.60068511963
144,109229.0636253357
145,90431.19649887085
146,96889.4137172699
147,118192.03610229492
148,154075.33472824097
149,88586.56521987915
150,102526.47994995117
151,149950.77756500244
152,140712.19194030762
153,142828.87118530273
154,153446.35763931274
155,67618.3852558136
156,116367.92737579346
157,150584.27574539185
158,149973.40867233276
159,151538.96995162964
160,150683.3376159668
161,152108.69361495972
162,148671.54006195068
163,146515.7629585266
164,143543.09272003174
165,145364.2287750244
166,148485.91961288452
167,137057.3859348297
168,122114.63385009766
169,150944.09140396118
170,70247.24218177795
171,118196.43827819824
172,109882.42459869385
173,121462.5301399231
174,157197.77087402344
175,93954.08722686768
176,130045.10843658447
177,156847.46027374268
178,154186.4787902832
179,101635.02341842651
180,113396.65713691711
181,91287.48174285889
182,112940.79337692261
183,155962.4359779358
184,133198.31161117554
185,88835.30832862854
186,104161.60244750977
187,91505.20366668701
188,95963.57919311523
189,96912.25778007507
190,151587.2644996643
191,95267.16926193237
192,158144.57779693604
193,136993.27138519287
194,124410.76423454285
195,156545.9480895996
196,150092.35103034973
197,77492.77244186401
198,154980.72911453247
199,138455.38901901245
200,153887.2262840271
201,156206.68882751465
202,153027.81964492798
203,154576.24688339233
204,108605.00941848755
205,151332.44354629517
206,81999.36613082886
207,152468.10187911987
208,114478.8777999878
209,150822.33806991577
210,113685.55523300171
211,143299.1622543335
212,101886.1736831665
213,111188.8828086853
214,96243.7177810669
215,142422.07250595093
216,117399.65562057495
217,112189.94082260132
218,89645.29745483398
219,130822.81616592407
220,105113.3024635315
221,119387.12552452087
222,153631.940410614
223,152029.49435043335
224,153968.71800231934
225,157004.72860336304
226,155637.38403701782
227,151328.4044532776
228,156165.61893463135
229,152970.11838912964
230,97125.11568832397
231,152686.44158554077
232,153235.18103027344
233,117515.67813110352
234,92387.79048156738
235,82930.55175209045
236,137243.65516662598
237,121888.15036392212
238,141334.2960948944
239,149257.1511001587
240,157405.87532424927
241,153831.73743629456
242,71424.55462265015
243,136932.04974746704
244,156036.8710784912
245,157671.42811203003
246,153799.67124557495
247,156616.52964782715
248,155377.18629837036
249,107936.25542068481
250,162999.74575805664
251,132689.3801460266
252,99181.40321350098
253,155222.56434249878
254,156475.90356063843
255,144189.7759552002
256,124785.47338867188
257,154094.2516708374
258,154241.97025680542
259,155820.94486236572
260,115680.71742630005
